tm_id,player_name,stats_url
161057,Carl Klaus,https://www.transfermarkt.com/carl-klaus/leistungsdatendetails/spieler/161057
597432,Leopold Querfeld,https://www.transfermarkt.com/leopold-querfeld/leistungsdatendetails/spieler/597432
387047,Danilho Doekhi,https://www.transfermarkt.com/danilho-doekhi/leistungsdatendetails/spieler/387047
357156,Diogo Leite,https://www.transfermarkt.com/diogo-leite/leistungsdatendetails/spieler/357156
371141,Stanley Nsoki,https://www.transfermarkt.com/stanley-nsoki/leistungsdatendetails/spieler/371141
798043,Tom Rothe,https://www.transfermarkt.com/tom-rothe/leistungsdatendetails/spieler/798043
391780,Derrick Köhn,https://www.transfermarkt.com/derrick-kohn/leistungsdatendetails/spieler/391780
1027870,Andrik Markgraf,https://www.transfermarkt.com/andrik-markgraf/leistungsdatendetails/spieler/1027870
362977,Josip Juranovic,https://www.transfermarkt.com/josip-juranovic/leistungsdatendetails/spieler/362977
75921,Christopher Trimmel,https://www.transfermarkt.com/christopher-trimmel/leistungsdatendetails/spieler/75921
692737,Aljoscha Kemlein,https://www.transfermarkt.com/aljoscha-kemlein/leistungsdatendetails/spieler/692737
124410,Rani Khedira,https://www.transfermarkt.com/rani-khedira/leistungsdatendetails/spieler/124410
454863,András Schäfer,https://www.transfermarkt.com/andras-schafer/leistungsdatendetails/spieler/454863
337333,Alex Král,https://www.transfermarkt.com/alex-kral/leistungsdatendetails/spieler/337333
177779,Janik Haberer,https://www.transfermarkt.com/janik-haberer/leistungsdatendetails/spieler/177779
270393,Robert Skov,https://www.transfermarkt.com/robert-skov/leistungsdatendetails/spieler/270393
297583,Woo-yeong Jeong,https://www.transfermarkt.com/woo-yeong-jeong/leistungsdatendetails/spieler/297583
519872,Livan Burcu,https://www.transfermarkt.com/livan-burcu/leistungsdatendetails/spieler/519872
745075,David Preu,https://www.transfermarkt.com/david-preu/leistungsdatendetails/spieler/745075
1035765,Ilyas Ansah,https://www.transfermarkt.com/ilyas-ansah/leistungsdatendetails/spieler/1035765
583699,Andrej Ilic,https://www.transfermarkt.com/andrej-ilic/leistungsdatendetails/spieler/583699
341317,Oliver Burke,https://www.transfermarkt.com/oliver-burke/leistungsdatendetails/spieler/341317
287920,Tim Skarke,https://www.transfermarkt.com/tim-skarke/leistungsdatendetails/spieler/287920
1045446,Dmytro Bogdanov,https://www.transfermarkt.com/dmytro-bogdanov/leistungsdatendetails/spieler/1045446
84938,Timo Horn,https://www.transfermarkt.com/timo-horn/leistungsdatendetails/spieler/84938
348778,Niclas Thiede,https://www.transfermarkt.com/niclas-thiede/leistungsdatendetails/spieler/348778
930004,Hugo Rölleke,https://www.transfermarkt.com/hugo-rolleke/leistungsdatendetails/spieler/930004
343959,Erhan Masovic,https://www.transfermarkt.com/erhan-masovic/leistungsdatendetails/spieler/343959
337031,Philipp Strompf,https://www.transfermarkt.com/philipp-strompf/leistungsdatendetails/spieler/337031
265209,Noah Loosli,https://www.transfermarkt.com/noah-loosli/leistungsdatendetails/spieler/265209
84435,Kevin Vogt,https://www.transfermarkt.com/kevin-vogt/leistungsdatendetails/spieler/84435
912431,Daniel Hülsenbusch,https://www.transfermarkt.com/daniel-hulsenbusch/leistungsdatendetails/spieler/912431
196793,Maximilian Wittek,https://www.transfermarkt.com/maximilian-wittek/leistungsdatendetails/spieler/196793
893930,Mikkel Rakneberg,https://www.transfermarkt.com/mikkel-rakneberg/leistungsdatendetails/spieler/893930
1056989,Darnell Keumo,https://www.transfermarkt.com/darnell-keumo/leistungsdatendetails/spieler/1056989
786822,Leandro Morgalla,https://www.transfermarkt.com/leandro-morgalla/leistungsdatendetails/spieler/786822
400542,Oliver Olsen,https://www.transfermarkt.com/oliver-olsen/leistungsdatendetails/spieler/400542
