iter	Passed	Remaining
415	3273	1062
416	3280	1054
417	3287	1046
418	3293	1037
419	3300	1029
420	3307	1021
421	3313	1012
422	3319	1004
423	3326	996
424	3332	988
425	3338	979
426	3345	971
427	3351	963
428	3356	954
429	3364	946
430	3372	938
431	3378	930
432	3384	922
433	3391	914
434	3397	906
435	3405	898
436	3411	890
437	3418	882
438	3425	874
439	3432	865
440	3440	858
441	3447	850
442	3453	842
443	3462	834
444	3468	826
445	3475	818
446	3487	811
447	3495	803
448	3503	795
449	3511	788
450	3530	782
451	3539	775
452	3547	767
453	3554	759
454	3561	751
455	3568	743
456	3578	735
457	3594	729
458	3601	721
459	3608	713
460	3615	705
461	3623	697
462	3630	690
463	3638	682
464	3647	674
465	3656	667
466	3665	659
467	3674	651
468	3684	644
469	3694	636
470	3704	629
471	3717	622
472	3727	614
473	3736	607
474	3746	599
475	3756	591
476	3766	584
477	3776	576
478	3787	569
479	3796	561
480	3806	553
481	3818	546
482	3828	539
483	3836	531
484	3845	523
485	3852	515
486	3860	507
487	3867	499
488	3874	491
489	3881	483
490	3889	475
491	3897	467
492	3905	459
493	3913	451
494	3923	443
495	3934	436
496	3945	428
497	3955	420
498	3965	413
499	3974	405
500	3983	397
501	3993	389
502	4003	382
503	4013	374
504	4022	366
505	4031	358
506	4038	350
507	4045	342
508	4052	334
509	4060	326
510	4067	318
511	4073	310
512	4080	302
513	4086	294
514	4093	286
515	4100	278
516	4106	270
517	4112	262
518	4119	253
519	4125	245
520	4131	237
521	4137	229
522	4144	221
523	4150	213
524	4157	205
525	4163	197
526	4170	189
527	4177	181
528	4183	173
529	4189	166
530	4196	158
531	4202	150
532	4209	142
533	4216	134
534	4222	126
535	4228	118
536	4234	110
537	4242	102
538	4250	94
539	4257	86
540	4264	78
541	4271	70
542	4277	63
543	4284	55
544	4292	47
545	4299	39
546	4306	31
547	4313	23
548	4320	15
549	4326	7
550	4332	0
