iter	Logloss
157	0.6737955413
158	0.6737620995
159	0.6737131955
160	0.6736354993
161	0.6735514776
162	0.6734689271
163	0.673399896
164	0.6733574621
165	0.6733104369
166	0.673259549
167	0.6731547418
168	0.6730978486
169	0.6730286873
170	0.6729579187
171	0.6729101449
172	0.6728599223
173	0.6728150992
174	0.6727512824
175	0.6726654115
176	0.67263013
177	0.6725713353
178	0.6725405439
179	0.6724221176
180	0.672374523
181	0.6723373786
182	0.6723292956
183	0.6722926212
184	0.6722472731
185	0.6721600016
186	0.6720678515
187	0.6719930318
188	0.6719686313
189	0.6719104828
190	0.671870276
191	0.6718103658
192	0.6717646203
193	0.671703376
194	0.6716549236
195	0.6715656806
196	0.6715190666
197	0.6714435526
198	0.6714071781
199	0.6713649057
200	0.6713331654
201	0.6713140155
202	0.6712914759
203	0.6712328996
204	0.6712004498
205	0.6711273515
206	0.6711055721
207	0.6710356957
208	0.6709849736
209	0.6709390354
210	0.6708653729
211	0.6708318354
212	0.6708046437
213	0.6707785901
214	0.6707466923
215	0.6706971813
216	0.6706344059
217	0.6705760131
218	0.6704876103
219	0.670453147
220	0.6704013658
221	0.6703445852
222	0.6702669799
223	0.6702061434
224	0.6701855755
225	0.6701441612
226	0.6701236031
227	0.6699549871
228	0.6699106519
229	0.6698742588
230	0.6698189038
231	0.6697620666
232	0.6697498503
233	0.6697172552
234	0.6697002409
235	0.6696519532
236	0.6695865484
237	0.6695652134
238	0.6695215522
239	0.6694770084
240	0.669430431
241	0.6693595516
242	0.6693514288
243	0.6692970146
244	0.6692605883
245	0.6691940258
246	0.6691852186
247	0.6691272167
248	0.6690935834
249	0.6690560325
250	0.6690153811
251	0.6689850052
252	0.6689245579
253	0.6688681921
254	0.6687971577
255	0.668703109
256	0.6686384324
257	0.6686056671
258	0.66856544
259	0.6685414424
260	0.6684936426
261	0.6684312542
262	0.6683825178
263	0.6683305509
264	0.6682720495
265	0.6682351303
266	0.6682020833
267	0.6681768999
268	0.6681403434
269	0.6680761291
270	0.6679952475
271	0.6679544184
272	0.6679107569
273	0.6678368047
274	0.667798855
275	0.6677593281
276	0.667711928
277	0.6676658474
278	0.6675991819
279	0.6675693427
280	0.6675562948
281	0.6675378496
282	0.667488675
283	0.6674489794
284	0.6674107407
285	0.6673706151
286	0.6673160508
287	0.667277439
288	0.6672648562
289	0.6672277746
290	0.6671952047
291	0.6671698168
292	0.6671452524
293	0.6670802068
294	0.6670276355
295	0.6670004262
296	0.6669391489
297	0.6669232749
298	0.6668956417
299	0.6668696203
300	0.666821926
301	0.6667838198
302	0.6667604399
303	0.6667258235
304	0.6667162645
305	0.6666768846
306	0.6666185553
307	0.6666011492
308	0.6665183809
309	0.6664834271
310	0.6664434692
311	0.6663742811
312	0.6663351813
313	0.6663254989
314	0.6662738571
315	0.6662392105
316	0.6661975096
317	0.6661160865
318	0.6660712246
319	0.6660283723
320	0.6660083224
321	0.6659597852
322	0.6659177812
323	0.6658585044
324	0.6658342791
325	0.6658054057
326	0.6657787887
327	0.6657522845
328	0.6657131741
329	0.665682983
330	0.6656560306
331	0.6656239481
332	0.6655744183
333	0.6654931852
334	0.665456542
335	0.6654466876
336	0.6653781676
337	0.6653540613
338	0.6653428195
339	0.6653239814
340	0.6652714306
341	0.6652268254
342	0.6651654549
343	0.6651537204
344	0.665109618
345	0.6650786587
346	0.6650559276
347	0.6650168875
348	0.6649639472
349	0.6649491561
350	0.6649311105
351	0.6648965466
352	0.6648631961
353	0.6648266289
354	0.6647806241
355	0.6647273081
356	0.6647063818
357	0.664645031
358	0.6646191548
359	0.664545464
360	0.6645011388
361	0.6644782741
362	0.6644525645
363	0.6644058052
364	0.6643345663
365	0.6643225761
366	0.6642883512
367	0.6642705196
368	0.6642424736
369	0.6641835852
370	0.6641613223
371	0.664106305
372	0.6640790328
373	0.6640473007
374	0.6640153332
375	0.6639687076
376	0.6639024223
377	0.6638183314
378	0.6637886838
379	0.6637681587
380	0.6637291508
381	0.6636986885
382	0.6636790651
383	0.6636424279
384	0.6636198384
385	0.6635751839
386	0.6635434325
387	0.6635223264
388	0.6634990971
389	0.6634680507
390	0.6633688701
391	0.6633498745
392	0.6633246394
393	0.6633088278
394	0.663280047
395	0.6632479814
396	0.66320369
397	0.6631704627
398	0.6631400859
399	0.6630819309
400	0.6630685303
401	0.6630382521
402	0.6629818565
403	0.6629677381
404	0.6629297869
405	0.6629140848
406	0.662865435
407	0.6628280713
408	0.6627913688
409	0.662727273
410	0.6627139289
411	0.6626617681
412	0.6626397808
413	0.6625995913
414	0.662581102
415	0.6624997778
416	0.6624791174
417	0.6624593949
418	0.6624480507
419	0.6624115452
420	0.6623779835
421	0.662333905
422	0.6623157838
423	0.6622944203
424	0.6622691425
425	0.6622327751
426	0.6622058951
427	0.6621751025
428	0.6621356445
429	0.6620852458
430	0.6620369305
431	0.6620177367
432	0.6619707768
433	0.6619363226
434	0.661904817
435	0.6618916732
436	0.6618656608
437	0.6618527762
438	0.6618277942
439	0.6618023728
440	0.6617537037
441	0.6617152628
442	0.6616880567
443	0.6616454285
444	0.6616140396
445	0.661577444
446	0.6615393839
447	0.6614937522
448	0.6614691342
449	0.6614542218
450	0.6614289132
451	0.6613829186
452	0.6613536502
453	0.6613050591
454	0.6612361458
455	0.6612089251
456	0.6611639576
457	0.6611126327
458	0.661075963
459	0.6610348905
460	0.660980502
461	0.6609436193
462	0.6609338784
463	0.6609043831
464	0.6608835589
465	0.6608610467
466	0.6608361335
467	0.6608003729
468	0.6607606119
469	0.6607027872
470	0.6606533168
471	0.6606036603
472	0.6605904402
473	0.6605423722
474	0.6605006601
475	0.6604809186
476	0.6604329356
477	0.6603521842
478	0.6603156624
479	0.6602940083
480	0.6602545669
481	0.660209772
482	0.6601787179
483	0.6601629352
484	0.6601347171
485	0.6601038396
486	0.6600077023
487	0.6599885844
488	0.6599521039
489	0.6599070584
490	0.6598354618
491	0.6598115606
492	0.6597811539
493	0.6597466216
494	0.659730022
495	0.6597031265
496	0.6596439125
497	0.6596244059
498	0.6595981448
499	0.6595887399
500	0.6595533779
501	0.6594676367
502	0.6594293982
503	0.6593733947
504	0.6593441456
505	0.659304634
506	0.659275277
507	0.6592188762
508	0.6591523949
509	0.6591234559
510	0.6590822144
511	0.6590375758
512	0.6590044533
513	0.658980452
514	0.6589217352
515	0.6589022824
516	0.6588721296
517	0.6588469449
518	0.6588066678
519	0.6587709985
520	0.6587163296
521	0.6586424585
522	0.658601449
523	0.6585798268
524	0.6585562391
525	0.6585283758
526	0.6584610702
527	0.658437311
528	0.6583429732
529	0.6583092436
530	0.6582887439
531	0.6582623028
532	0.6582342353
533	0.6581880318
534	0.6581585057
535	0.6581230809
536	0.6581106302
537	0.6580576356
538	0.6580028542
539	0.6579772992
540	0.6579687339
541	0.6578968618
542	0.6578427224
543	0.6578177615
544	0.6577916412
545	0.6577638375
546	0.6577315234
547	0.657706463
548	0.6576271207
549	0.6575754883
550	0.6575413076
